Row ID,Order ID,Order Date,,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,City1,City2,State1,State2,region1,49,the number of states 
4102,US-2017-102288,6/19/2017,,6/23/2017,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77095,Central,OFF-AP-10002906,Office Supplies,Appliances,Bush Somerset Collection Bookcase,0.444,1,0.8,-1.11,Houston,Chicago,Texas,New York,Central,531,the number of cities 
9293,CA-2017-124114,3/2/2017,,3/2/2017,Same Day,RS-19765,Roland Schwarz,Corporate,United States,Waco,Texas,76706,Central,OFF-BI-10004022,Office Supplies,Binders,Bush Somerset Collection Bookcase,0.556,1,0.8,-0.9452,Waco,,Illinois,,East,,
8659,CA-2016-168361,6/21/2016,,6/25/2016,Standard Class,KB-16600,Ken Brennan,Corporate,United States,Chicago,Illinois,60623,Central,OFF-BI-10003727,Office Supplies,Binders,Bush Somerset Collection Bookcase,0.836,1,0.8,-1.3376,Chicago,,Pennsylvania,,West,,
4712,CA-2014-112403,3/31/2014,,3/31/2014,Same Day,JO-15280,Jas O'Carroll,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10003529,Office Supplies,Binders,Bush Somerset Collection Bookcase,0.852,1,0.7,-0.5964,Philadelphia,,California,,South,,
2107,US-2014-152723,9/26/2014,,9/26/2014,Same Day,HG-14965,Henry Goldwyn,Corporate,United States,Mesquite,Texas,75150,Central,OFF-BI-10003460,Office Supplies,Binders,Bush Somerset Collection Bookcase,0.876,1,0.8,-1.4016,Mesquite,,Colorado,,,,
7549,CA-2014-103492,10/10/2014,,10/15/2014,Standard Class,CM-12715,Craig Molinari,Corporate,United States,Huntsville,Texas,77340,Central,OFF-BI-10004140,Office Supplies,Binders,Bush Somerset Collection Bookcase,0.898,1,0.8,-1.5715,Huntsville,,Oregon,,,,
8034,CA-2015-119690,6/25/2015,,6/28/2015,First Class,MV-17485,Mark Van Huff,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10000201,Office Supplies,Binders,Bush Somerset Collection Bookcase,0.984,2,0.8,-1.476,San Francisco,,Florida,,,,
2762,CA-2017-126536,10/12/2017,,10/14/2017,First Class,NK-18490,Neil Knudson,Home Office,United States,San Francisco,California,94110,West,TEC-AC-10003709,Technology,Accessories,Bush Somerset Collection Bookcase,0.99,1,0,0.4356,Dallas,,New York,,,,
8025,CA-2014-129189,7/21/2014,,7/25/2014,Standard Class,HM-14860,Harry Marie,Corporate,United States,Dallas,Texas,75217,Central,OFF-BI-10000494,Office Supplies,Binders,Bush Somerset Collection Bookcase,1.044,1,0.8,-1.827,Aurora,,Washington,,,,
1333,CA-2014-122567,2/16/2014,,2/21/2014,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-BI-10002012,Office Supplies,Binders,Bush Somerset Collection Bookcase,1.08,3,0.8,-1.728,Portland,,Arizona,,,,
